Hit Point Die;D10 per Hunter Stalker level
Max Sanity;10
Sanity Die;D10
Saving Throw Proficiencies;Dexterity and Intelligence
Skill Proficiencies;Choose 2: Acrobatics, Athletics, Deception, Insight, Intimidation,  Investigation, Perception, Sleight of Hand or Stealth
Wapon Proficiencies;Simple weapons and Martial weapons that have the Finesse or Light property
Tool Proficiencies;Thieves Tools
Armor Training;Light armor
Starting Equipment;Scimitar, 4 Daggers, Pistol and Thieves Tools
Speed;30ft (6 sq) 
